title,description
"Toronto home sales up 18.9% in May from last year, TREB report says","Market beginning to favour sellers, number of listings is lagging, says Toronto Real Estate Board",2019-06-05,CBC
Residents of Leslieville apartment building accuse their landlord of 'renoviction',"Renovictions becoming a bigger problem in her ward, Coun. Paula Fletcher says",2019-05-29,CBC
Looking back at a decade of Vancouver real estate,"'It's been a long and strange trip,' says urban planning professor Andy Yan",2020-01-01,CBC
Feds announce $200M for affordable rentals where Honest Ed's once stood,"Mirvish Village project will ensure location stays true to roots as low-income hub, Ahmed Hussen says",2020-01-16,CBC
41 new affordable housing units in East London,"""Crisis need"" for housing in the city ",2019-05-24,CBC
"More rate cuts possible if coronavirus impact worsens, Poloz says",Investors think it is a near certainty that bank will cut again next month,2020-03-05,CBC
"Sudbury offering up to $29,000 in home buying assistance to renters",The loan is forgiven if purchasers stay put for 20 years,2019-08-19,CBC
Where is the N.W.T.'s $21.5M COVID-19 relief package coming from?,"'In a lot of aspects ... it’s money that we’re not taking in,' said N.W.T. Finance Minister Caroline Wawzonek",2020-04-09,CBC
Where is the N.W.T.'s $21.5M COVID-19 relief package coming from?,"'In a lot of aspects ... it’s money that we’re not taking in,' said N.W.T. Finance Minister Caroline Wawzonek",2020-04-09,CBC
When student housing was hard to come by in Vancouver,"In 1981, there wasn't much available for students and what was available was pretty expensive",2019-09-06,CBC
"Ontario's rising rents hurt the poor, Ottawa advocates say","Province raises cap on rent increase to 2.2% for 2020, highest hike since 2013",2020-01-04,CBC
Government says new Victoria micro-apartments will help with middle-income housing crisis,Housing advocates say the project still doesn't address the growing need for middle-income family housing,2019-08-21,CBC
"Province to spend $629K on new affordable housing units over 3 years, $12M on repairs",Rent supplements cut to spend $2M on emergency shelter beds with 500 people across New Brunswick homeless,2019-12-11,CBC
Government says new Victoria micro-apartments will help with middle-income housing crisis,Housing advocates say the project still doesn't address the growing need for middle-income family housing,2019-08-21,CBC
Liberals promise to expand program for first-time homebuyers,"Liberal Leader Justin Trudeau says more help on the way for hot markets such as Toronto, Vancouver",2019-09-13,CBC
"Moncton, Dieppe break building permit records as construction booms",Residential construction is increasing but vacancy rates are falling ,2020-01-23,CBC
Homeless moms vow to keep fighting after being forcibly evicted from vacant Oakland house,"Moving into the house was 'an act of desperation,' says evicted woman Dominique Walker",2020-01-15,CBC
"Home sales edge higher in June, with strong gains in Ontario, Quebec",Canadian Real Estate Association notes sales and price declines in B.C. as supply outpaces demand,2019-07-15,CBC
"P.E.I. has to 'be careful' with housing solutions, says minister","'The sooner that we can see policies in place to address this, the better'",2019-08-12,CBC
Homeless moms vow to keep fighting after being forcibly evicted from vacant Oakland house,"Moving into the house was 'an act of desperation,' says evicted woman Dominique Walker",2020-01-15,CBC
"Holder announces plans for zero-emission buses, but it's far from a sure thing","Money could come from leftover BRT cash, but it would need support of council, senior governments",2020-01-22,CBC
"Higher home prices, higher debt levels and how they affect our choices",What do booming housing markets mean for Canadian communities?,2019-09-28,CBC
Nunavut government prides itself on barter for lower public flight fares,"Under new contract, medical and duty travel flights cost more than economy tickets  ",2020-03-09,CBC
"In Edmonton Centre, affordable housing can be hard to find",Nearly 20 per cent of renters spend half —or more —of their income on rent,2019-10-10,CBC
"Boomers, once critical of millennials, are more sympathetic to their housing plight, says professor","Parents 'recognize that their kids have it really different getting on the property ladder,' says Nancy Worth",2019-07-08,CBC
"In some battleground ridings, renters spend 50% or more of income on housing",Top 20 worst ridings for rental affordability unveiled in 2019 Canadian Rental Housing Index,2019-09-17,CBC
Thesis project shares stories of older women in insecure housing,"'One woman actually said ... my expiry date has come and gone,' says researcher",2019-11-18,CBC
Calgary pulling together list of projects for life after pandemic,"Nenshi says governments are interested in creating jobs, getting economy moving when crisis is done",2020-04-02,CBC
"Hot housing market in K-W matched hot temperatures in July, realtors say",Townhouse sales saw a particularly sharp increase of 45.1 per cent over July 2018,2019-08-07,CBC
"Feds, Alberta set to clash over cash for new rent supplement","Rent benefit will be tied to a person, rather than a social housing unit",2019-12-26,CBC
"Where we live, where we die and the romances we read in between","From the cost of housing to the cost of dying, with a Valentine look at love in publishing ",2020-02-14,CBC
"Posh corner of London to get 55 affordable apartments, thanks to local church","The units will bolster the well-heeled northwest, an underserved section of the city",2019-08-29,CBC
N.S. NDP say rent control needed to make rental housing more affordable,NDP say provincial Liberals have failed to build affordable housing and protect renters,2019-10-16,CBC
Charlottetown street navigator says he sees 'direct impact' of housing crisis every day,'Something that I have run into is even people that have enough money to get housing can't find it either',2019-08-13,CBC
Liberals look at short-term changes to expand rural broadband,"Document is aspirational, doesn't come with any new spending",2019-06-27,CBC
High-end housing squeezes out people who need it most,'Almost all of the new apartments ... they're for the middle and upper-income folks',2019-12-05,CBC
Essex man sleeping in scooter after town's order to leave 'hazardous' apartment,"70-year-old struggling with long wait list for affordable housing, rising rental rates",2020-03-10,CBC
Liberals look at short-term changes to expand rural broadband,"Document is aspirational, doesn't come with any new spending",2019-06-27,CBC
"Vacancy rate on the rise in Regina, so why isn't the cost of rent going down?",Some residents struggle to afford rent in Regina despite oversupply,2019-10-08,CBC
Home prices in Vancouver are quadruple what average millennial can afford: report,"Gap between money millennials make and money they need is still too wide, study says",2019-06-12,CBC
"New CMHC program good for students, middle class, says P.E.I. mortgage broker","Paul Trainor says it won't solve the problem of soaring house prices, but will help make them more affordable",2019-06-18,CBC
London home prices jump 10 per cent in November as sales close in on record year,"Realtors call last month 'best November ever,' as the city grapples with widening housing crisis",2019-12-04,CBC
Summer Produce Market brings fresh Ontario fruits and veggies to Toronto — for free,Daily Bread Food Bank will run markets in 14 Toronto communities this summer,2019-07-27,CBC
Why it was hard to sell or buy a home in Vancouver in 1981,Interest rates were the stumbling point ,2019-08-27,CBC
Vancouver is still in a housing crisis. But when will we know if it's over?,It's a question without a defined answer — but one that could have big policy implications down the road,2019-07-07,CBC
"'Broken system' favours tenants, says CEO of Ontario Landlords Watch",Kayla Andrade met with Ontario Housing Minister Steve Clark late last month,2019-12-09,CBC
Montreal's Molson brewery to make way for new residential neighbourhood,"Sprawling site to integrate housing, commercial space and community infrastructure billed as 'historic'",2019-06-05,CBC
Vancouver-area home sales rebound from last year as prices inch downward: REBGV,"Home sales in January were 7.3% below 10-year average, but still higher than January 2019",2020-02-05,CBC
Faro's abandoned homes have all been sold,170 housing units sat empty for years after the Faro mine closed in 1997,2019-12-03,CBC
P.E.I. housing starts expected to decline sharply in 2020,'Currently there's an excess of housing starts',2019-10-30,CBC
Montreal's Molson brewery to make way for new residential neighbourhood,"Sprawling site to integrate housing, commercial space and community infrastructure billed as 'historic'",2019-06-05,CBC
