"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","Canada",,,,,,,,,,,,,,,
"","","Employment 3",,,,,,,,,,,,,,,
"Sex","Age group","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020"
"",,"Persons",,,,,,,,,,,,,,,
,"35 to 39 years","985.6","999.3","988.6","984.1","992.4","987.7","967.7","968.1","998.3","1,003.7","1,021.7","1,027.8","1,021.6","1,028.7","1,001.6","907.9"
,"40 to 44 years","999.3","1,004.4","998.9","1,018.7","1,006.3","1,019.2","965.4","967.7","1,006.8","1,015.7","1,010.7","993.1","999.6","994.9","932.2","875.6"
,"45 to 49 years","945.8","943.1","959.5","962.3","963.8","972.1","954.0","936.2","964.5","951.7","959.9","969.4","969.3","954.9","914.1","829.8"
,"50 to 54 years","988.8","994.5","972.7","975.9","986.9","967.4","944.0","959.3","1,003.9","977.7","957.8","951.4","933.4","940.8","879.0","848.8"
,"55 to 59 years","890.4","893.7","893.6","910.4","915.9","932.0","903.4","898.3","928.2","945.3","930.5","927.3","917.7","924.7","864.0","801.7"
,"60 to 64 years","574.6","573.0","579.0","588.1","580.7","593.2","572.8","580.5","609.9","617.3","623.0","615.3","603.3","602.3","572.9","510.3"
,"65 years and over","369.1","378.9","376.1","365.3","375.0","352.3","332.7","342.3","356.6","362.5","342.7","354.5","353.0","350.3","322.5","297.4"
,"65 to 69 years","239.2","249.6","249.5","245.3","254.6","237.0","221.4","225.5","242.1","240.8","226.8","238.4","237.4","234.9","204.9","182.7"
,"70 years and over","129.9","129.2","126.6","120.0","120.4","115.3","111.4","116.7","114.6","121.6","116.0","116.1","115.6","115.4","117.6","114.6"

Symbol legend:

Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,Excluding the territories.
3,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
4,
"How to cite: Statistics Canada. Table 14-10-0017-01 Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410001701
DOI: https://doi.org/10.25318/1410001701-eng
