REF_DATE,GEO,DGUID,Components,Unit of measure,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.89,,,,2
2020-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years",Interest rate,Percent,239,units,0,v122667779,1.5.2,2.72,,,,2
2019-01,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more",Dollars,Dollars,81,millions,6,v122667729,1.6.1,2071,,,,0
2019-02,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more",Dollars,Dollars,81,millions,6,v122667729,1.6.1,2335,,,,0
2019-03,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more",Dollars,Dollars,81,millions,6,v122667729,1.6.1,2585,,,,0
2019-04,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more",Dollars,Dollars,81,millions,6,v122667729,1.6.1,3135,,,,0
2019-05,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more",Dollars,Dollars,81,millions,6,v122667729,1.6.1,4248,,,,0
2019-06,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more",Dollars,Dollars,81,millions,6,v122667729,1.6.1,4540,,,,0
2019-07,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more",Dollars,Dollars,81,millions,6,v122667729,1.6.1,5483,,,,0
2019-08,Canada,2016A000011124,"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more",Dollars,Dollars,81,millions,6,v122667729,1.6.1,5258,,,,0
