REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-07-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7458,,,,4
2019-07-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7456,,,,4
2019-07-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-07-29,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7457,,,,4
2019-07-30,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7458,,,,4
2019-07-31,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7543,,,,4
2019-08-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7486,,,,4
2019-08-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7483,,,,4
2019-08-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-08-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-08-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,,..,,,4
2019-08-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7473,,,,4
2019-08-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7479,,,,4
2019-08-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7479,,,,4
2019-08-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7490,,,,4
2019-08-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-08-11,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-08-12,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7467,,,,4
2019-08-13,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7471,,,,4
2019-08-14,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7500,,,,4
2019-08-15,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7485,,,,4
2019-08-16,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7475,,,,4
2019-08-17,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-08-18,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-08-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7464,,,,4
2019-08-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7466,,,,4
2019-08-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7476,,,,4
2019-08-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7488,,,,4
2019-08-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7484,,,,4
2019-08-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-08-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-08-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7477,,,,4
2019-08-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7483,,,,4
2019-08-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7467,,,,4
2019-08-29,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7490,,,,4
2019-08-30,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7457,,,,4
2019-08-31,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-09-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-09-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,,..,,,4
